Handle,Title,Option1 Name,Option1 Value,Custom Product Type,Published,Variant Inventory Qty,Variant Price,Variant Inventory Policy,Variant Fulfillment Service,SEO Title,SEO Description,Image Src,Image Alt Text,Status,Cost per item,Body (HTML),Vendor,Tags,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Position,Gift Card,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Standard Product Type
004508,45 giri vasco senza parole edizione esclusiva per il blasco fan club,Title,Default Title,CD e vinili,TRUE,NaN,42,deny,manual,45 giri vasco senza parole edizione esclusiva per il blasco fan club,45 giri vasco senza parole edizione esclusiva per il blasco fan club,https://sad-turing-785048.netlify.app/imgs/004508_45%20giri%20vasco%20senza%20parole%20edizione%20esclusiva%20per%20il%20blasco%20fan%20club.jpg,45 giri vasco senza parole edizione esclusiva per il blasco fan club,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005085,Kodi ott tv box m8s,Title,Default Title,CD e vinili,TRUE,NaN,21,deny,manual,Kodi ott tv box m8s,Kodi ott tv box m8s,https://sad-turing-785048.netlify.app/imgs/005085_Kodi%20ott%20tv%20box%20m8s_01.jpg,Kodi ott tv box m8s,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003042,DJ desck valigetta porta piatti e mixer,Title,Default Title,CD e vinili,TRUE,NaN,112,deny,manual,DJ desck valigetta porta piatti e mixer,DJ desck valigetta porta piatti e mixer,https://sad-turing-785048.netlify.app/imgs/003042_dj%20desck_01.jpg,DJ desck valigetta porta piatti e mixer,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003791,Verbatim 50 pezzi DVD-R,Title,Default Title,DVD e blue ray,TRUE,NaN,14,deny,manual,Verbatim 50 pezzi DVD-R,Verbatim 50 pezzi DVD-R,https://sad-turing-785048.netlify.app/imgs/003791_Verbatim%2050%20pezzi%20DVD-R_01.jpg,Verbatim 50 pezzi DVD-R,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000816,Media range blu ray,Title,Default Title,DVD e blue ray,TRUE,NaN,7,deny,manual,Media range blu ray,Media range blu ray,https://sad-turing-785048.netlify.app/imgs/000816_dvd%20blu%20ray%20media%20range_01.jpg,Media range blu ray,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002254,Rango DVD,Title,Default Title,DVD e blue ray,TRUE,NaN,1.4,deny,manual,Rango DVD,Rango DVD,https://sad-turing-785048.netlify.app/imgs/002254_rango%20DVD_01.jpg,Rango DVD,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006930,Ventola raffreddamento xbox,Title,Default Title,Consolle e videogiochi,TRUE,NaN,14,deny,manual,Ventola raffreddamento xbox,Ventola raffreddamento xbox,https://sad-turing-785048.netlify.app/imgs/006930_Ventola%20raffreddamento%20xbox_01.jpg,Ventola raffreddamento xbox,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004809,Supporto per il telefono cellulare con bioadesivo,Title,Default Title,Telefonia,TRUE,NaN,0.28,deny,manual,Supporto per il telefono cellulare con bioadesivo,Supporto per il telefono cellulare con bioadesivo,https://sad-turing-785048.netlify.app/imgs/004809_supporto%20per%20cellulare%20bioadesivo_01.jpg,Supporto per il telefono cellulare con bioadesivo,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003606,LifeProof Next custodia per I-Phone 7 trasparente,Title,Default Title,Telefonia,TRUE,NaN,28,deny,manual,LifeProof Next custodia per I-Phone 7 trasparente,LifeProof Next custodia per I-Phone 7 trasparente,https://sad-turing-785048.netlify.app/imgs/003606_custodia%20i-phone%207%20trasparente_01.jpg,LifeProof Next custodia per I-Phone 7 trasparente,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003604,Lifeproof custodia serie free per I-Phone 7,Title,Default Title,Telefonia,TRUE,NaN,21,deny,manual,Lifeproof custodia serie free per I-Phone 7,Lifeproof custodia serie free per I-Phone 7,https://sad-turing-785048.netlify.app/imgs/003604_custodia%20i-phone%207_01.jpg,Lifeproof custodia serie free per I-Phone 7,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
